Rk,American,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Cincinnati,11,5,.688,25,10,.714,73.9,65.5,16.2,7.8,NCAA Tournament; Reg. Season Champion
2,Charlotte,10,6,.625,22,11,.667,78.3,71.9,14.2,7.9,NCAA Tournament; Conf. Tournament Champion
3,Marquette,9,7,.563,15,14,.517,65.6,65.4,6.8,6.6,
4,Saint Louis,8,8,.500,17,14,.548,70.1,66.0,10.0,5.9,
4,Louisville,8,8,.500,12,19,.387,69.5,75.4,2.8,8.7,
6,DePaul,4,12,.250,12,18,.400,72.3,74.0,5.3,8.0,
1,Southern Mississippi,11,5,.688,22,9,.710,70.2,62.5,11.0,4.5,Reg. Season Champion
2,Memphis,10,6,.625,21,15,.583,75.1,67.9,13.2,7.1,
3,South Florida,9,7,.563,18,13,.581,74.4,69.4,10.5,5.5,
4,Alabama-Birmingham,8,8,.500,17,14,.548,72.1,69.6,6.6,4.1,
5,Houston,6,10,.375,9,20,.310,65.4,71.7,-1.3,4.9,
6,Tulane,2,14,.125,9,21,.300,72.3,80.9,-5.8,4.9,
