Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Liberty,13,5,.722,28,7,.800,75.9,63.4,7.4,-1.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Middle Tennessee,12,6,.667,22,12,.647,76.7,72.5,2.5,1.0,
2,Jacksonville State,12,6,.667,23,13,.639,73.7,68.4,1.8,0.1,
4,Kennesaw State,10,8,.556,19,14,.576,76.5,73.2,0.5,0.8,
4,New Mexico State,10,8,.556,17,15,.531,69.7,65.9,0.9,0.4,
6,Louisiana Tech,9,9,.500,20,12,.625,73.9,68.4,1.5,-0.7,
7,Western Kentucky,8,10,.444,17,15,.531,74.8,74.8,-0.5,1.0,
8,UTEP,7,11,.389,18,15,.545,72.5,70.8,-0.6,0.3,
9,Sam Houston,6,12,.333,13,19,.406,75.3,76.0,-2.9,1.3,
10,Florida International,3,15,.167,10,23,.303,69.2,72.1,-6.7,-1.7,
