Rk,American,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Cincinnati,16,0,1.000,29,4,.879,77.6,61.5,24.6,8.5,NCAA Tournament; Reg. Season Champion
2,Louisville,10,6,.625,19,12,.613,73.2,66.2,14.9,8.8,NCAA Tournament
3,DePaul,9,7,.563,21,12,.636,72.3,64.3,14.7,7.8,NCAA Tournament
4,Marquette,8,8,.500,15,14,.517,62.8,62.4,7.2,6.8,
5,Saint Louis,7,9,.438,19,14,.576,64.4,63.8,9.0,8.4,NCAA Tournament; Conf. Tournament Champion
5,Charlotte,7,9,.438,17,16,.515,68.1,65.7,11.0,8.6,
1,Tulane,8,8,.500,20,11,.645,67.8,65.5,5.8,3.5,Reg. Season Champion
1,South Florida,8,8,.500,17,14,.548,77.2,72.4,8.7,3.9,Reg. Season Champion
3,Southern Mississippi,7,9,.438,17,12,.586,66.2,64.9,5.5,4.2,
3,Alabama-Birmingham,7,9,.438,14,14,.500,73.3,74.9,3.4,4.9,
3,Memphis,7,9,.438,15,16,.484,73.2,71.9,6.4,5.6,
6,Houston,2,14,.125,9,22,.290,76.2,79.9,1.9,6.4,
