Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Louisiana Tech,15,3,.833,27,9,.750,73.1,65.6,5.7,-1.3,Reg. Season Champion
2,Old Dominion,13,5,.722,27,8,.771,64.9,57.1,7.7,-0.2,
2,Texas-El Paso,13,5,.722,22,11,.667,69.2,63.8,4.9,-0.5,
4,Western Kentucky,12,6,.667,20,12,.625,71.4,67.2,1.1,-0.4,
4,Alabama-Birmingham,12,6,.667,20,16,.556,68.8,68.1,1.9,1.6,NCAA Tournament; Conf. Tournament Champion
6,Middle Tennessee,9,9,.500,19,17,.528,63.5,62.4,0.2,-0.4,
7,Florida International,8,10,.444,16,17,.485,62.4,65.2,-7.8,-3.2,
7,Texas-San Antonio,8,10,.444,14,16,.467,70.7,70.4,-3.3,-2.6,
7,North Texas,8,10,.444,14,17,.452,65.3,68.2,-4.9,-0.7,
7,Rice,8,10,.444,12,20,.375,64.1,65.8,-2.9,-0.8,
11,Charlotte,7,11,.389,14,18,.438,73.8,72.4,1.8,0.4,
11,Marshall,7,11,.389,11,21,.344,66.8,71.5,-6.5,-0.2,
13,Southern Mississippi,4,14,.222,9,20,.310,60.1,68.2,-10.0,-0.1,*Overall W-L adjusted to 3-20
14,Florida Atlantic,2,16,.111,9,20,.310,62.6,66.7,-7.8,-2.1,
