Rk,American,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Marquette,14,2,.875,27,6,.818,78.5,69.5,16.3,7.3,NCAA Tournament; Reg. Season Champion; NCAA FF
2,Louisville,11,5,.688,25,7,.781,81.6,68.7,19.8,6.8,NCAA Tournament; Conf. Tournament Champion
3,Cincinnati,9,7,.563,17,12,.586,67.4,61.9,12.9,7.4,NCAA Tournament
3,Saint Louis,9,7,.563,16,14,.533,60.7,60.7,6.8,6.9,
5,DePaul,8,8,.500,16,13,.552,67.2,64.9,8.8,6.5,
5,Charlotte,8,8,.500,13,16,.448,68.4,69.9,5.5,6.9,
7,East Carolina,3,13,.188,12,15,.444,65.2,65.1,1.8,4.7,
1,Memphis,13,3,.813,23,7,.767,74.4,66.4,13.2,5.3,NCAA Tournament; Reg. Season Champion
2,Alabama-Birmingham,8,8,.500,21,13,.618,77.6,72.9,7.6,3.9,
2,Tulane,8,8,.500,16,15,.516,71.1,67.5,6.0,2.8,
4,South Florida,7,9,.438,15,14,.517,69.0,68.0,4.2,4.5,
5,Houston,6,10,.375,8,20,.286,58.3,66.2,-3.0,4.9,
6,Southern Mississippi,5,11,.313,13,16,.448,66.9,70.1,0.6,3.8,
7,Texas Christian,3,13,.188,9,19,.321,76.6,80.4,0.4,4.2,
