Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Memphis,16,0,1.000,33,4,.892,75.1,58.8,20.9,4.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Tulsa,12,4,.750,25,11,.694,66.8,61.4,8.4,4.8,
3,Alabama-Birmingham,11,5,.688,22,12,.647,72.4,66.0,10.1,3.7,
4,Texas-El Paso,10,6,.625,23,14,.622,75.4,71.9,6.7,3.2,
5,Houston,10,6,.625,21,12,.636,75.8,68.5,8.3,1.3,
6,Central Florida,7,9,.438,17,14,.548,71.7,69.9,1.7,1.3,*Overall W-L adjusted to 0-14
7,Marshall,7,9,.438,15,17,.469,71.1,70.5,0.1,2.7,
8,Tulane,7,9,.438,14,17,.452,65.1,66.3,-1.3,0.9,
9,East Carolina,5,11,.313,13,17,.433,72.5,73.8,-3.0,1.3,
10,Rice,4,12,.250,10,22,.313,63.8,71.0,-5.0,3.2,
11,Southern Mississippi,4,12,.250,15,17,.469,66.8,66.7,1.5,3.8,
12,Southern Methodist,3,13,.188,9,21,.300,64.6,68.2,-3.3,3.6,
