Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Cleveland State,13,5,.722,27,9,.750,71.0,63.6,7.6,1.7,Reg. Season Champion
1,Butler,13,5,.722,28,10,.737,71.2,64.1,11.5,5.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
1,Milwaukee,13,5,.722,19,14,.576,68.7,69.7,1.5,2.5,Reg. Season Champion
4,Valparaiso,12,6,.667,23,12,.657,73.3,68.0,4.2,1.7,
5,Wright State,10,8,.556,19,14,.576,64.3,61.7,3.2,1.4,
5,Detroit Mercy,10,8,.556,17,16,.515,74.5,72.6,1.9,0.9,
7,Green Bay,8,10,.444,14,18,.438,67.3,68.4,-0.2,2.2,
8,Loyola (IL),7,11,.389,16,15,.516,69.5,66.6,1.7,-1.1,
9,Youngstown State,2,16,.111,9,21,.300,69.1,74.2,-6.4,0.9,
9,Illinois-Chicago,2,16,.111,7,24,.226,62.7,69.4,-6.3,2.0,
