Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Valparaiso,14,4,.778,22,12,.647,68.3,65.4,0.6,0.0,Reg. Season Champion
2,Cleveland State,12,6,.667,22,11,.667,66.0,60.1,5.3,0.1,
3,Detroit Mercy,11,7,.611,22,14,.611,72.1,67.6,2.4,0.0,NCAA Tournament; Conf. Tournament Champion
3,Butler,11,7,.611,22,15,.595,63.6,60.7,2.9,1.1,
3,Milwaukee,11,7,.611,20,14,.588,64.2,62.5,0.5,0.1,
6,Youngstown State,10,8,.556,16,15,.516,67.6,66.0,-1.8,-1.6,
6,Green Bay,10,8,.556,15,15,.500,64.5,66.1,-2.3,1.0,
8,Wright State,7,11,.389,13,19,.406,58.0,61.5,-4.1,0.3,
9,Illinois-Chicago,3,15,.167,8,22,.267,60.9,67.8,-9.2,-1.3,
10,Loyola (IL),1,17,.056,7,23,.233,57.2,62.9,-8.4,-1.8,
