Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Coastal Carolina,16,2,.889,28,6,.824,76.4,64.1,2.4,-5.1,Reg. Season Champion
2,Liberty,13,5,.722,19,13,.594,67.7,65.6,-5.6,-4.9,
3,North Carolina-Asheville,11,7,.611,20,14,.588,73.7,68.6,-0.7,-2.9,NCAA Tournament; Conf. Tournament Champion
4,Virginia Military Institute,10,8,.556,18,13,.581,87.9,82.1,-4.2,-5.4,
5,Charleston Southern,9,9,.500,16,16,.500,73.8,68.7,-4.9,-4.6,
5,Winthrop,9,9,.500,13,17,.433,65.8,66.9,-5.4,-3.2,
7,Presbyterian,7,11,.389,13,18,.419,61.8,66.6,-7.7,-2.8,
7,High Point,7,11,.389,12,19,.387,66.1,72.6,-12.8,-4.5,
9,Gardner-Webb,6,12,.333,11,21,.344,62.0,66.5,-9.2,-2.7,
10,Radford,2,16,.111,5,24,.172,59.8,71.2,-16.8,-2.5,
