Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,UNC Asheville,16,2,.889,27,8,.771,74.4,69.1,-1.7,-4.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Longwood,12,6,.667,20,12,.625,73.2,66.2,-1.7,-6.3,
2,Radford,12,6,.667,21,15,.583,69.3,64.8,-1.9,-3.9,
4,South Carolina Upstate,10,8,.556,16,16,.500,68.7,69.5,-7.4,-3.8,
4,Gardner-Webb,10,8,.556,15,16,.484,70.7,65.5,-3.8,-4.6,
4,Winthrop,10,8,.556,15,17,.469,73.8,74.4,-6.6,-3.6,
7,Campbell,8,10,.444,16,18,.471,69.8,68.5,-5.2,-4.9,
8,High Point,6,12,.333,14,17,.452,74.6,77.2,-9.9,-5.2,
9,Charleston Southern,5,13,.278,10,21,.323,72.6,74.4,-9.4,-4.5,
10,Presbyterian,1,17,.056,5,27,.156,63.2,69.5,-13.6,-5.0,
