Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,High Point,12,4,.750,17,14,.548,71.6,66.2,-4.7,-7.2,Reg. Season Champion
2,Virginia Military Institute,8,8,.500,14,17,.452,78.2,77.8,-11.4,-7.1,
3,Radford,7,9,.438,13,19,.406,66.8,68.1,-10.9,-7.3,
3,Campbell,7,9,.438,13,20,.394,69.2,72.6,-10.2,-5.5,
5,Liberty,6,10,.375,15,21,.417,69.1,70.0,-9.1,-5.8,NCAA Tournament; Conf. Tournament Champion
6,Longwood,4,12,.250,8,25,.242,68.8,81.4,-19.4,-5.1,
1,Charleston Southern,12,4,.750,19,13,.594,73.8,67.0,-2.1,-5.6,Reg. Season Champion
2,Gardner-Webb,11,5,.688,21,13,.618,65.8,60.8,-3.2,-5.9,
3,North Carolina-Asheville,10,6,.625,16,16,.500,71.8,69.2,-3.7,-4.0,
4,Coastal Carolina,9,7,.563,14,15,.483,67.0,63.4,-5.6,-5.2,
5,Winthrop,6,10,.375,14,17,.452,60.0,61.2,-8.6,-4.4,
6,Presbyterian,4,12,.250,8,24,.250,62.1,70.3,-17.5,-4.7,
