Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,High Point,12,4,.750,16,15,.516,71.1,72.7,-8.2,-5.2,Reg. Season Champion
2,Virginia Military Institute,11,5,.688,22,13,.629,88.3,82.6,-5.5,-6.3,
3,Radford,10,6,.625,22,13,.629,78.0,74.3,-7.9,-8.3,
4,Campbell,6,10,.375,12,20,.375,67.6,71.6,-14.0,-7.3,
5,Liberty,5,11,.313,11,21,.344,70.3,69.8,-10.3,-7.5,
6,Longwood,3,13,.188,8,24,.250,69.8,80.3,-20.3,-5.6,
1,Coastal Carolina,11,5,.688,21,13,.618,72.3,68.4,-5.2,-6.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Winthrop,10,6,.625,20,13,.606,74.0,71.4,-6.4,-6.6,
2,Gardner-Webb,10,6,.625,18,15,.545,73.5,70.0,-7.3,-6.9,
2,North Carolina-Asheville,10,6,.625,17,15,.531,77.7,75.8,-6.8,-5.5,
5,Charleston Southern,6,10,.375,13,18,.419,81.4,72.3,-5.3,-5.8,
6,Presbyterian,2,14,.125,6,26,.188,65.4,76.4,-20.7,-7.5,
