Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Longwood,15,1,.938,26,7,.788,75.7,65.8,-0.4,-6.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Campbell,8,8,.500,16,13,.552,66.2,62.0,-4.8,-5.8,
3,High Point,7,9,.438,14,18,.438,69.5,69.8,-6.5,-3.4,
3,Radford,7,9,.438,11,18,.379,63.2,67.4,-9.2,-3.9,
5,North Carolina A&T,6,10,.375,12,20,.375,67.7,70.3,-9.9,-4.5,
6,Hampton,5,11,.313,9,19,.321,64.8,69.5,-13.5,-6.0,*Overall W-L adjusted to 0-19 conference W-L adjusted to 0-11
1,Winthrop,14,2,.875,23,9,.719,75.2,70.2,-1.6,-3.6,Reg. Season Champion
2,Gardner-Webb,11,5,.688,18,13,.581,69.5,64.2,-2.4,-4.4,
3,South Carolina Upstate,10,6,.625,15,17,.469,71.5,73.2,-9.0,-4.1,
4,UNC Asheville,8,8,.500,17,15,.531,75.3,68.8,-4.5,-5.3,
5,Presbyterian,4,12,.250,12,20,.375,67.8,67.9,-8.5,-3.6,
6,Charleston Southern,1,15,.063,6,25,.194,68.5,76.0,-17.6,-4.2,
