Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Oregon,14,4,.778,19,5,.792,74.1,66.9,14.0,6.8,
2,Southern California,15,5,.750,21,6,.778,74.3,64.1,17.7,7.4,
3,Colorado,14,6,.700,20,7,.741,73.7,63.0,17.5,6.7,
4,UCLA,13,6,.684,17,8,.680,72.6,67.9,12.9,8.2,
5,Arizona,11,9,.550,17,9,.654,75.4,68.6,12.9,6.1,
6,Oregon State,10,10,.500,14,12,.538,70.0,68.1,6.3,7.1,
6,Stanford,10,10,.500,14,12,.538,70.2,69.3,9.1,8.2,
8,Utah,8,11,.421,11,12,.478,70.4,67.8,9.7,7.1,
9,Arizona State,7,10,.412,10,13,.435,74.8,77.3,5.6,8.0,
10,Washington State,7,12,.368,14,12,.538,69.0,67.6,6.1,4.7,
11,Washington,4,16,.200,5,20,.200,66.6,76.6,-0.5,9.5,
12,University of California,3,17,.150,8,19,.296,65.3,70.0,1.4,7.2,
