Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Arizona,14,4,.778,27,8,.771,80.5,71.7,15.7,6.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Southern California,12,6,.667,24,12,.667,77.7,71.2,12.8,6.3,
3,Utah,11,7,.611,23,12,.657,73.5,68.5,11.4,6.4,
3,UCLA,11,7,.611,21,12,.636,81.2,76.0,12.1,6.9,NCAA Tournament
3,Stanford,11,7,.611,19,16,.543,75.9,74.9,8.1,7.1,
6,Oregon,10,8,.556,23,13,.639,78.3,72.4,10.7,4.8,
6,Washington,10,8,.556,21,13,.618,74.6,73.0,7.6,6.1,
8,Arizona State,8,10,.444,20,12,.625,82.7,74.8,14.4,6.6,NCAA Tournament
8,Colorado,8,10,.444,17,15,.531,72.1,73.0,6.1,7.0,
10,Oregon State,7,11,.389,16,16,.500,73.1,70.3,7.3,4.6,
11,Washington State,4,14,.222,12,19,.387,73.2,77.8,0.7,5.2,
12,University of California,2,16,.111,8,24,.250,67.7,77.6,-3.4,6.1,
