Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Hampton,13,3,.813,21,11,.656,73.8,74.1,-8.7,-8.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,South Carolina State,12,4,.750,19,15,.559,73.1,73.1,-10.0,-8.2,
2,Norfolk State,12,4,.750,17,17,.500,73.4,73.4,-7.5,-6.7,
4,Bethune-Cookman,10,6,.625,14,18,.438,70.6,72.8,-14.3,-9.2,
5,Savannah State,9,7,.563,16,16,.500,62.3,67.7,-15.4,-8.6,
6,North Carolina Central,7,9,.438,13,19,.406,69.4,69.8,-13.0,-10.0,
6,Maryland-Eastern Shore,7,9,.438,10,22,.313,68.1,75.0,-14.2,-6.2,
6,North Carolina A&T,7,9,.438,10,22,.313,67.8,76.0,-16.8,-8.5,
9,Howard,6,10,.375,12,20,.375,72.2,76.0,-14.4,-8.3,
9,Coppin State,6,10,.375,9,22,.290,72.3,80.5,-15.8,-6.1,
9,Morgan State,6,10,.375,9,22,.290,67.4,71.7,-12.6,-8.0,
12,Delaware State,5,11,.313,7,25,.219,61.9,73.0,-20.9,-6.9,
13,Florida A&M,4,12,.250,8,21,.276,64.2,73.4,-21.7,-10.7,
