Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Savannah State,14,2,.875,21,12,.636,63.3,59.1,-3.6,-5.9,Reg. Season Champion
2,Norfolk State,13,3,.813,26,10,.722,68.9,67.1,-3.7,-5.4,NCAA Tournament; Conf. Tournament Champion
3,Delaware State,12,4,.750,15,14,.517,66.1,64.4,-8.1,-6.8,
4,Bethune-Cookman,11,5,.688,18,17,.514,65.0,66.3,-9.1,-7.0,
5,North Carolina Central,10,6,.625,17,15,.531,70.7,63.1,-6.1,-7.0,
6,Coppin State,9,7,.563,14,16,.467,73.8,75.2,-9.1,-6.0,
7,North Carolina A&T,7,9,.438,12,20,.375,69.9,72.7,-12.3,-5.9,
8,Hampton,6,10,.375,12,21,.364,64.7,66.8,-10.1,-7.9,
8,Howard,6,10,.375,10,21,.323,60.7,70.1,-14.6,-4.2,
8,Morgan State,6,10,.375,9,20,.310,66.7,69.6,-8.4,-5.5,
8,Florida A&M,6,10,.375,10,23,.303,65.9,73.2,-15.6,-6.3,
12,Maryland-Eastern Shore,4,12,.250,7,23,.233,59.5,70.3,-16.8,-4.7,
13,South Carolina State,0,16,.000,5,26,.161,64.5,77.1,-20.8,-6.1,
