Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Connecticut,13,3,.813,27,7,.794,77.8,69.2,16.0,7.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Miami (FL),10,6,.625,24,8,.750,74.8,67.4,13.0,5.5,NCAA Tournament
3,St. John's (NY),9,7,.563,20,12,.625,70.3,68.8,7.8,6.3,NCAA Tournament; *Overall W-L adjusted to 7-11
4,Boston College,8,8,.500,20,12,.625,73.6,70.5,8.9,5.9,NCAA Tournament
5,Villanova,7,9,.438,19,13,.594,70.8,66.3,10.7,6.2,
6,Providence,6,10,.375,15,16,.484,71.4,69.7,6.2,4.5,
7,Virginia Tech,4,12,.250,10,18,.357,69.4,70.8,2.6,4.0,
1,Pittsburgh,13,3,.813,29,6,.829,72.3,60.9,14.7,4.5,NCAA Tournament; Reg. Season Champion
2,Notre Dame,10,6,.625,22,11,.667,78.8,68.4,15.7,6.2,NCAA Tournament
3,Georgetown,9,7,.563,19,11,.633,81.1,70.4,13.2,4.2,
4,Syracuse,9,7,.563,23,13,.639,72.3,66.8,11.4,5.9,
5,Rutgers,8,8,.500,18,13,.581,67.6,66.0,4.5,2.9,
6,Seton Hall,5,11,.313,12,18,.400,70.5,70.8,5.9,6.7,
7,West Virginia,1,15,.063,8,20,.286,73.0,78.9,-1.4,5.9,
