Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Boston College,10,6,.625,19,12,.613,79.4,76.4,10.3,7.2,Reg. Season Champion
2,Connecticut,10,6,.625,23,10,.697,79.5,71.2,15.8,7.6,NCAA Tournament; Reg. Season Champion
3,Providence,8,8,.500,18,14,.563,71.4,67.6,11.6,7.8,
4,Villanova,8,8,.500,15,16,.484,71.8,70.2,9.1,7.6,
5,St. John's (NY),7,9,.438,21,13,.618,71.1,68.8,9.7,7.4,*Overall W-L adjusted to 1-13
6,Miami (FL),4,12,.250,11,17,.393,69.9,68.7,6.0,4.9,
7,Virginia Tech,4,12,.250,11,18,.379,70.2,73.2,2.3,5.3,
1,Syracuse,13,3,.813,30,5,.857,79.6,69.6,19.0,9.0,NCAA Tournament; Reg. Season Champion; NCAA FF; NCAA Champion
2,Pittsburgh,13,3,.813,28,5,.848,74.9,59.2,21.5,5.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Seton Hall,10,6,.625,17,13,.567,67.6,66.2,9.7,8.2,
4,Notre Dame,10,6,.625,24,10,.706,79.2,71.3,17.3,9.4,NCAA Tournament
5,Georgetown,6,10,.375,19,15,.559,76.0,69.4,12.9,6.3,
6,West Virginia,5,11,.313,14,15,.483,66.8,69.6,4.1,6.8,
7,Rutgers,4,12,.250,12,16,.429,67.6,69.0,5.1,6.4,
