Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,St. John's (NY),18,2,.900,31,5,.861,78.5,65.8,21.3,8.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Creighton,15,5,.750,25,11,.694,75.5,70.0,16.5,11.0,NCAA Tournament
3,Connecticut,14,6,.700,24,11,.686,77.0,68.0,17.9,8.9,NCAA Tournament
4,Marquette,13,7,.650,23,11,.676,76.6,68.7,18.2,10.4,NCAA Tournament
4,Xavier,13,7,.650,22,12,.647,78.1,71.6,15.2,8.7,NCAA Tournament
6,Villanova,11,9,.550,21,15,.583,74.0,68.2,13.3,7.4,
7,Georgetown,8,12,.400,18,16,.529,72.0,69.6,8.2,5.8,
8,Butler,6,14,.300,15,20,.429,74.7,74.9,10.0,10.1,
8,Providence,6,14,.300,12,20,.375,71.3,72.5,7.2,8.3,
10,DePaul,4,16,.200,14,20,.412,72.4,74.5,5.3,7.3,
11,Seton Hall,2,18,.100,7,25,.219,61.6,70.2,-0.3,8.4,
