Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Syracuse,17,1,.944,34,3,.919,74.1,61.0,21.1,8.0,NCAA Tournament; Reg. Season Champion; *Overall W-L adjusted to 0-3
2,Marquette,14,4,.778,27,8,.771,75.4,65.9,16.9,7.5,NCAA Tournament
3,Notre Dame,13,5,.722,22,12,.647,66.4,61.7,11.2,6.5,NCAA Tournament
4,Georgetown,12,6,.667,24,9,.727,69.0,59.4,16.8,7.7,NCAA Tournament
4,Cincinnati,12,6,.667,26,11,.703,68.2,61.5,12.9,6.3,NCAA Tournament
4,South Florida,12,6,.667,22,14,.611,59.3,56.6,9.2,7.3,NCAA Tournament
7,Louisville,10,8,.556,30,10,.750,68.2,61.0,16.2,9.0,NCAA Tournament; Conf. Tournament Champion; NCAA FF; *Overall W-L adjusted to 0-10 conference W-L adjusted to 0-8
8,West Virginia,9,9,.500,19,14,.576,71.1,66.5,12.1,7.5,NCAA Tournament
9,Seton Hall,8,10,.444,21,13,.618,68.4,63.8,10.2,5.7,
9,Connecticut,8,10,.444,20,14,.588,68.7,64.5,12.3,8.1,NCAA Tournament
11,Rutgers,6,12,.333,14,18,.438,65.5,65.8,5.4,5.8,
11,St. John's (NY),6,12,.333,13,19,.406,66.5,70.9,2.6,7.0,
13,Pittsburgh,5,13,.278,22,17,.564,69.0,65.5,9.4,5.9,
13,Villanova,5,13,.278,13,19,.406,70.8,70.6,7.9,7.6,
15,Providence,4,14,.222,15,17,.469,68.8,69.3,4.2,4.6,
16,DePaul,3,15,.167,12,19,.387,74.1,76.7,2.0,4.6,
