Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Connecticut,14,2,.875,30,4,.882,81.8,67.1,21.2,6.6,NCAA Tournament; Reg. Season Champion
2,Villanova,14,2,.875,28,5,.848,74.2,63.8,19.5,9.2,NCAA Tournament; Reg. Season Champion
3,West Virginia,11,5,.688,22,11,.667,70.7,63.4,14.5,8.5,NCAA Tournament
4,Marquette,10,6,.625,20,11,.645,75.0,69.4,11.3,8.2,NCAA Tournament
5,Georgetown,10,6,.625,23,10,.697,66.0,58.9,14.0,6.9,NCAA Tournament
6,Pittsburgh,10,6,.625,25,8,.758,72.5,63.1,16.4,7.0,NCAA Tournament
7,Seton Hall,9,7,.563,18,12,.600,67.8,67.1,6.8,6.1,NCAA Tournament
8,Cincinnati,8,8,.500,21,13,.618,74.4,69.4,13.0,8.4,
9,Syracuse,7,9,.438,23,12,.657,72.4,68.9,11.7,8.2,NCAA Tournament; Conf. Tournament Champion; *Overall W-L adjusted to 0-12
10,Rutgers,7,9,.438,19,14,.576,68.9,65.0,8.0,5.2,
11,Louisville,6,10,.375,21,13,.618,69.9,64.6,11.3,6.5,
12,Notre Dame,6,10,.375,16,14,.533,76.4,70.7,12.3,6.7,
13,DePaul,5,11,.313,12,15,.444,64.9,67.1,6.5,8.7,
13,Providence,5,11,.313,12,15,.444,74.8,74.7,7.8,7.7,
13,St. John's (NY),5,11,.313,12,15,.444,60.0,60.4,5.2,5.6,
16,South Florida,1,15,.063,7,22,.241,59.9,64.3,0.2,4.6,
