Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Boston College,13,3,.813,27,5,.844,79.6,66.5,18.0,5.2,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Providence,11,5,.688,21,10,.677,76.1,66.1,13.7,5.4,NCAA Tournament
3,St. John's (NY),8,8,.500,14,15,.483,73.5,72.7,9.0,8.3,*Overall W-L adjusted to 5-15
4,Miami (FL),8,8,.500,16,13,.552,70.3,67.7,7.5,4.9,
5,Villanova,8,8,.500,18,13,.581,76.6,74.9,8.2,6.5,
6,Connecticut,8,8,.500,20,12,.625,73.4,68.3,10.2,5.4,
7,Virginia Tech,2,14,.125,8,19,.296,65.6,74.7,-5.4,3.8,
1,Notre Dame,11,5,.688,20,10,.667,77.9,69.3,14.3,5.7,NCAA Tournament; Reg. Season Champion
2,Georgetown,10,6,.625,25,8,.758,78.0,67.5,12.1,1.6,NCAA Tournament
3,Syracuse,10,6,.625,25,9,.735,72.8,67.5,11.1,5.8,NCAA Tournament
4,West Virginia,8,8,.500,17,12,.586,73.8,73.8,3.5,4.0,
5,Pittsburgh,7,9,.438,19,14,.576,68.1,65.3,7.4,5.2,
6,Seton Hall,5,11,.313,16,15,.516,74.4,73.9,6.5,6.0,
7,Rutgers,3,13,.188,11,16,.407,65.3,65.8,4.7,5.2,
