Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Appalachian State,11,5,.688,19,10,.655,83.9,79.6,-1.9,-3.5,Reg. Season Champion
1,East Tennessee State,11,5,.688,20,11,.645,82.0,75.2,-0.9,-2.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Davidson,11,5,.688,17,10,.630,80.7,71.1,0.2,-2.3,Reg. Season Champion
4,Western Carolina,6,10,.375,9,19,.321,73.0,75.3,-11.8,-4.4,
5,Virginia Military Institute,3,13,.188,10,20,.333,65.1,71.6,-13.4,-4.3,
5,North Carolina-Greensboro,3,13,.188,7,22,.241,70.4,75.6,-8.6,-2.8,
1,College of Charleston,13,3,.813,25,8,.758,74.6,67.7,1.2,-3.2,Reg. Season Champion
2,Chattanooga,11,5,.688,21,9,.700,81.2,74.0,0.4,-3.6,
3,Georgia Southern,8,8,.500,16,13,.552,76.8,76.1,-7.8,-5.6,
3,Wofford,8,8,.500,14,15,.483,76.2,73.9,-5.0,-1.8,
3,Furman,8,8,.500,14,17,.452,66.0,66.2,-7.3,-3.1,
6,Citadel,3,13,.188,8,20,.286,66.4,69.0,-12.2,-3.9,
