Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,East Tennessee State,16,2,.889,30,4,.882,76.3,63.1,7.6,-1.8,Reg. Season Champion; Conf. Tournament Champion
2,Furman,15,3,.833,25,7,.781,76.8,66.3,6.8,-1.6,
3,North Carolina-Greensboro,13,5,.722,23,9,.719,74.1,63.1,5.9,-1.5,
4,Mercer,11,7,.611,17,15,.531,71.7,70.3,-3.1,-2.7,
5,Western Carolina,10,8,.556,19,12,.613,78.8,74.7,-0.1,-1.5,
5,Chattanooga,10,8,.556,20,13,.606,73.0,68.5,0.4,-1.9,
7,Wofford,8,10,.444,19,16,.543,72.1,68.5,0.2,-1.5,
8,Samford,4,14,.222,10,23,.303,74.2,82.2,-13.1,-1.1,
9,Virginia Military Institute,3,15,.167,9,24,.273,72.1,71.1,-6.9,-2.7,
10,Citadel,0,18,.000,6,24,.200,74.8,81.1,-13.8,-1.0,
