Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,East Tennessee State,13,3,.813,18,10,.643,72.6,65.2,-3.0,-6.1,Reg. Season Champion
2,North Carolina-Greensboro,10,6,.625,19,12,.613,73.6,71.9,-5.0,-5.9,NCAA Tournament; Conf. Tournament Champion
3,Davidson,7,9,.438,15,17,.469,69.0,69.9,-8.8,-3.7,
3,Appalachian State,7,9,.438,11,20,.355,64.7,70.5,-12.1,-4.2,
5,Virginia Military Institute,5,11,.313,9,19,.321,68.0,72.8,-13.2,-6.4,
6,Western Carolina,3,13,.188,6,25,.194,65.5,75.5,-15.1,-4.3,
1,College of Charleston,12,4,.750,22,7,.759,67.0,60.0,1.6,-4.6,Reg. Season Champion
2,Citadel,9,7,.563,16,12,.571,68.8,66.2,-6.9,-6.0,
2,Chattanooga,9,7,.563,17,13,.567,73.2,69.8,-2.1,-3.8,
2,Georgia Southern,9,7,.563,15,15,.500,76.5,75.4,-6.6,-5.5,
5,Wofford,7,9,.438,12,16,.429,71.1,68.9,-4.4,-2.0,
6,Furman,5,11,.313,10,16,.385,66.5,66.3,-7.7,-6.0,
