Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Appalachian State,15,3,.833,25,8,.758,76.0,67.8,4.7,-1.2,Reg. Season Champion
2,North Carolina-Greensboro,12,6,.667,16,14,.533,69.4,68.5,-2.8,-3.7,
3,Western Carolina,7,11,.389,11,20,.355,70.3,73.6,-9.4,-1.7,
4,Chattanooga,6,12,.333,15,18,.455,68.5,68.4,-5.9,-2.2,
5,Elon,5,13,.278,7,23,.233,62.5,70.4,-11.2,-1.5,
1,Davidson,17,1,.944,29,5,.853,81.3,68.7,8.3,-2.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,College of Charleston,13,5,.722,22,11,.667,69.4,65.6,0.7,-3.1,
3,Furman,8,10,.444,15,16,.484,67.8,68.6,-4.8,-2.7,
4,Georgia Southern,7,11,.389,15,16,.484,69.2,68.3,-6.9,-2.7,
5,Wofford,5,13,.278,10,20,.333,71.0,75.2,-9.5,-2.5,
6,Citadel,4,14,.222,7,23,.233,58.6,68.0,-14.8,-0.8,
