Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,East Tennessee State,15,1,.938,27,6,.818,79.3,69.4,4.2,-3.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Chattanooga,10,6,.625,19,11,.633,82.1,75.3,-1.4,-3.0,
3,Elon,7,9,.438,12,18,.400,68.9,73.3,-9.4,-2.9,
3,North Carolina-Greensboro,7,9,.438,11,17,.393,73.0,75.1,-7.4,-4.1,
5,Western Carolina,6,10,.375,13,15,.464,74.7,70.2,-7.2,-3.8,
6,Appalachian State,4,12,.250,9,21,.300,69.7,72.3,-5.8,-1.2,
1,Georgia Southern,11,5,.688,21,8,.724,80.6,71.2,-1.2,-6.9,Reg. Season Champion
1,College of Charleston,11,5,.688,20,9,.690,73.6,67.8,1.1,-4.0,Reg. Season Champion
1,Davidson,11,5,.688,17,12,.586,73.1,70.8,-1.8,-1.0,Reg. Season Champion
4,Furman,8,8,.500,17,12,.586,73.2,66.9,-2.1,-5.8,
5,Wofford,4,12,.250,9,20,.310,73.0,78.1,-12.3,-1.9,
6,Citadel,2,14,.125,6,22,.214,58.6,71.5,-19.9,-3.4,
