Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,East Tennessee State,13,5,.722,23,11,.676,77.6,69.3,-0.6,-7.3,Reg. Season Champion
2,Mercer,11,7,.611,19,13,.594,82.7,75.5,-2.9,-5.2,
2,Wofford,11,7,.611,19,13,.594,78.8,77.1,-7.4,-7.2,
2,Samford,11,7,.611,18,14,.563,78.9,75.3,-5.3,-6.1,
5,Furman,10,8,.556,22,12,.647,76.5,70.5,-3.2,-6.1,NCAA Tournament; Conf. Tournament Champion
5,Western Carolina,10,8,.556,15,16,.484,78.5,77.3,-6.4,-3.7,
7,UNC Greensboro,9,9,.500,15,19,.441,78.6,80.5,-11.3,-6.0,
8,Chattanooga,7,11,.389,13,19,.406,76.7,75.3,-10.9,-7.0,
8,The Citadel,7,11,.389,11,22,.333,70.4,77.5,-16.5,-5.9,
10,Virginia Military Institute,1,17,.056,6,26,.188,72.0,80.0,-20.7,-6.0,
