Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Elon,13,5,.722,21,12,.636,68.9,65.0,-3.6,-5.2,Reg. Season Champion
2,Appalachian State,10,8,.556,15,16,.484,71.3,71.6,-7.9,-5.8,
3,Western Carolina,9,9,.500,14,19,.424,69.3,69.7,-6.4,-4.4,
3,Samford,9,9,.500,11,21,.344,61.2,66.1,-10.1,-4.4,
5,Chattanooga,8,10,.444,13,19,.406,69.3,72.4,-10.5,-5.0,
6,North Carolina-Greensboro,6,12,.333,9,22,.290,71.7,73.7,-9.4,-5.3,
1,Davidson,17,1,.944,26,8,.765,73.2,62.1,7.3,-3.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,College of Charleston,14,4,.778,24,11,.686,65.6,62.2,0.2,-3.9,
3,Georgia Southern,7,11,.389,14,19,.424,62.1,65.1,-9.7,-5.0,
3,Wofford,7,11,.389,13,19,.406,58.1,59.1,-6.7,-4.6,
5,Citadel,5,13,.278,8,22,.267,64.4,73.2,-17.0,-5.5,
6,Furman,3,15,.167,7,24,.226,60.3,70.3,-17.5,-5.3,
