Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Appalachian State,13,7,.650,18,13,.581,71.4,69.3,-0.7,-2.8,Reg. Season Champion
1,Chattanooga,13,7,.650,18,13,.581,75.6,72.9,-1.2,-1.1,Reg. Season Champion
3,North Carolina-Greensboro,12,8,.600,19,12,.613,70.8,66.5,2.0,-1.4,
4,Elon,9,11,.450,14,19,.424,62.8,65.3,-4.7,-1.9,
5,Western Carolina,6,14,.300,10,21,.323,63.8,69.0,-8.2,-1.2,
1,Davidson,20,0,1.000,29,7,.806,77.9,63.2,13.9,1.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Georgia Southern,13,7,.650,20,12,.625,75.0,71.4,-0.1,-2.2,*Overall W-L adjusted to 0-12
3,College of Charleston,9,11,.450,16,17,.485,72.5,72.4,-2.2,-2.3,
4,Wofford,8,12,.400,16,16,.500,67.1,66.8,-5.8,-1.4,
5,Furman,6,14,.300,7,23,.233,61.2,71.4,-12.7,-2.4,
6,Citadel,1,19,.050,6,24,.200,63.4,74.3,-17.0,-1.1,
