Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Appalachian State,13,3,.813,23,9,.719,79.1,69.6,2.5,-3.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Davidson,10,6,.625,15,13,.536,73.9,70.5,-2.7,-2.7,
3,North Carolina-Greensboro,9,7,.563,15,13,.536,71.7,72.3,-7.7,-6.2,
4,East Tennessee State,8,8,.500,14,15,.483,69.1,70.9,-8.7,-5.0,
5,Western Carolina,7,9,.438,14,14,.500,76.9,80.3,-10.4,-4.9,
6,Virginia Military Institute,1,15,.063,6,23,.207,71.2,77.5,-14.9,-2.7,
1,College of Charleston,13,3,.813,24,6,.800,67.8,58.6,1.0,-7.0,Reg. Season Champion
2,Georgia Southern,10,6,.625,16,12,.571,77.1,78.9,-7.9,-5.5,
3,Wofford,8,8,.500,14,16,.467,69.3,72.8,-7.6,-2.9,
4,Chattanooga,6,10,.375,10,19,.345,69.6,72.5,-8.0,-4.6,
5,Furman,5,10,.333,14,18,.438,70.4,68.4,-6.4,-5.2,
5,Citadel,5,10,.333,9,20,.310,65.2,72.7,-15.5,-5.7,
