Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Davidson,11,5,.688,21,10,.677,70.7,66.0,0.6,0.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,North Carolina-Greensboro,11,5,.688,20,11,.645,72.2,68.5,1.4,-2.4,Reg. Season Champion
1,East Tennessee State,11,5,.688,18,10,.643,81.5,72.8,3.2,-1.6,Reg. Season Champion
4,Western Carolina,6,10,.375,12,16,.429,77.9,77.8,-7.9,-3.0,
5,Appalachian State,5,11,.313,10,18,.357,76.4,79.0,-7.5,-0.7,
5,Virginia Military Institute,5,11,.313,10,18,.357,76.5,82.1,-9.1,0.3,
1,College of Charleston,9,7,.563,21,9,.700,69.4,60.8,4.9,-3.1,Reg. Season Champion
1,Georgia Southern,9,7,.563,16,12,.571,79.6,74.6,0.7,-0.8,Reg. Season Champion
1,Chattanooga,9,7,.563,16,14,.533,73.2,70.5,1.2,0.6,Reg. Season Champion
4,Citadel,8,8,.500,17,12,.586,72.9,68.3,-0.5,-2.2,
5,Furman,7,9,.438,17,14,.548,69.1,66.0,-1.6,-1.2,
6,Wofford,5,11,.313,11,18,.379,66.9,69.0,-7.0,1.1,
