Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Wofford,16,2,.889,28,7,.800,66.6,59.7,2.6,-3.0,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Chattanooga,15,3,.833,22,10,.688,72.7,66.9,-1.6,-4.1,
3,Mercer,12,6,.667,19,16,.543,66.7,62.7,-2.0,-4.1,
4,Western Carolina,9,9,.500,15,17,.469,70.3,71.4,-5.8,-3.6,
5,East Tennessee State,8,10,.444,16,14,.533,73.4,71.3,-4.8,-4.0,
6,Virginia Military Institute,7,11,.389,11,19,.367,80.5,80.9,-9.8,-3.9,
7,Samford,6,12,.333,13,19,.406,69.3,71.9,-9.4,-5.6,
7,Citadel,6,12,.333,11,19,.367,64.0,68.6,-12.9,-4.7,
7,North Carolina-Greensboro,6,12,.333,11,22,.333,69.4,70.8,-8.0,-4.4,
10,Furman,5,13,.278,11,22,.333,63.6,68.0,-10.6,-3.5,
