Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,North Carolina-Greensboro,10,8,.556,13,19,.406,69.7,76.8,-9.7,-2.0,Reg. Season Champion
2,Elon,9,9,.500,15,16,.484,70.2,71.8,-7.4,-3.0,
3,Western Carolina,8,10,.444,17,18,.486,71.5,70.3,-6.6,-3.4,
3,Samford,8,10,.444,11,19,.367,66.1,69.7,-8.7,-3.0,
5,Appalachian State,7,11,.389,13,18,.419,68.4,70.2,-6.9,-3.3,
6,Chattanooga,5,13,.278,11,21,.344,70.6,68.9,-7.0,-3.5,
1,Davidson,16,2,.889,25,8,.758,77.9,67.8,7.3,-1.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Wofford,12,6,.667,19,14,.576,63.9,63.2,-3.6,-3.8,
2,Georgia Southern,12,6,.667,15,15,.500,66.7,67.8,-6.7,-3.8,
4,College of Charleston,10,8,.556,19,12,.613,70.7,68.3,-0.2,-2.5,
5,Furman,8,10,.444,15,16,.484,64.7,65.2,-6.0,-3.9,
6,Citadel,3,15,.167,6,24,.200,64.2,71.9,-14.5,-3.7,
