Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Western Carolina,11,9,.550,16,15,.516,74.0,72.6,-7.2,-5.1,Reg. Season Champion
1,Chattanooga,11,9,.550,18,17,.514,75.9,76.8,-6.3,-3.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
3,Samford,9,11,.450,16,16,.500,61.6,62.2,-8.3,-6.4,
3,Appalachian State,9,11,.450,13,18,.419,76.0,76.8,-8.4,-5.4,
5,Elon,7,13,.350,11,20,.355,65.8,70.9,-12.0,-4.6,
6,North Carolina-Greensboro,4,16,.200,5,25,.167,62.9,73.9,-16.0,-4.3,
1,Davidson,18,2,.900,27,8,.771,77.8,65.9,8.3,-3.3,Reg. Season Champion
2,College of Charleston,15,5,.750,27,9,.750,77.3,72.7,-1.3,-5.9,
2,Citadel,15,5,.750,20,13,.606,66.8,64.7,-4.5,-6.0,
4,Wofford,12,8,.600,16,14,.533,68.8,69.0,-7.0,-5.5,
5,Georgia Southern,5,15,.250,8,22,.267,70.5,78.8,-13.5,-3.7,*Overall W-L adjusted to 1-22
6,Furman,4,16,.200,6,24,.200,61.0,71.0,-16.1,-4.6,
