Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Appalachian State,13,5,.722,24,13,.649,74.8,69.4,1.8,-2.8,Reg. Season Champion
2,Western Carolina,11,7,.611,22,12,.647,74.3,69.2,-1.2,-2.9,
3,Chattanooga,6,12,.333,15,18,.455,69.8,72.1,-8.6,-3.7,
4,North Carolina-Greensboro,6,12,.333,8,23,.258,63.4,71.8,-8.2,0.6,
5,Samford,5,13,.278,11,20,.355,57.7,60.7,-7.3,-2.5,
6,Elon,5,13,.278,9,23,.281,66.9,73.0,-10.4,-3.0,
1,Wofford,15,3,.833,26,9,.743,68.8,61.0,4.4,-2.6,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,College of Charleston,14,4,.778,22,12,.647,75.0,73.3,-0.8,-2.5,
3,Davidson,11,7,.611,16,15,.516,72.3,71.0,-2.3,-1.3,
4,Citadel,9,9,.500,16,16,.500,60.9,59.8,-3.4,-2.9,
5,Furman,7,11,.389,13,17,.433,68.4,68.6,-7.0,-4.8,
6,Georgia Southern,6,12,.333,9,23,.281,70.6,79.0,-12.6,-1.7,
