Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Furman,15,3,.833,28,8,.778,80.9,71.2,4.9,-2.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Samford,15,3,.833,21,11,.656,78.7,71.6,0.5,-4.4,Reg. Season Champion
3,UNC Greensboro,14,4,.778,20,12,.625,72.1,64.5,1.7,-2.9,
4,Western Carolina,10,8,.556,18,16,.529,73.9,70.7,-6.3,-4.1,
5,Wofford,8,10,.444,17,16,.515,74.7,72.5,-5.0,-3.3,
5,East Tennessee State,8,10,.444,12,20,.375,69.1,69.0,-6.0,-4.4,
7,Chattanooga,7,11,.389,18,17,.514,77.2,72.1,-2.3,-3.3,
8,Mercer,6,12,.333,14,19,.424,68.7,67.0,-5.1,-4.0,
9,The Citadel,5,13,.278,10,22,.313,67.4,74.2,-12.1,-3.8,
10,Virginia Military Institute,2,16,.111,7,25,.219,69.4,76.8,-16.1,-3.5,
