Rk,North,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Elon,10,4,.714,15,14,.517,67.1,68.2,-7.5,-3.4,Reg. Season Champion
2,Chattanooga,8,6,.571,19,13,.594,72.5,70.2,-7.5,-5.2,
3,Western Carolina,7,7,.500,13,17,.433,68.3,67.1,-8.3,-4.6,
4,Appalachian State,6,8,.429,14,16,.467,70.0,70.4,-7.6,-4.8,
5,North Carolina-Greensboro,4,10,.286,12,19,.387,68.8,72.2,-10.7,-4.7,
1,Georgia Southern,11,4,.733,20,10,.667,77.5,72.7,-3.1,-5.8,Reg. Season Champion
2,Davidson,10,5,.667,20,11,.645,77.5,68.9,1.9,-3.0,NCAA Tournament; Conf. Tournament Champion
3,College of Charleston,9,6,.600,17,11,.607,73.3,66.5,-4.1,-5.8,
4,Furman,8,7,.533,15,13,.536,72.2,68.6,-7.6,-6.4,
5,Wofford,6,9,.400,11,18,.379,67.1,65.8,-7.9,-3.0,
6,Citadel,1,14,.067,10,21,.323,67.4,72.5,-20.8,-7.8,
