Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Virginia,17,1,.944,31,3,.912,67.1,54.0,22.2,9.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Duke,13,5,.722,29,8,.784,84.4,69.6,24.4,9.7,NCAA Tournament
3,Clemson,11,7,.611,25,10,.714,73.8,65.9,17.2,9.3,NCAA Tournament
3,North Carolina,11,7,.611,26,11,.703,81.6,73.3,20.1,11.8,NCAA Tournament
3,Miami (FL),11,7,.611,22,10,.688,73.8,67.9,12.8,7.0,NCAA Tournament
3,North Carolina State,11,7,.611,21,12,.636,81.3,75.1,12.9,6.7,NCAA Tournament
7,Virginia Tech,10,8,.556,21,12,.636,79.8,72.2,14.4,6.7,NCAA Tournament
8,Florida State,9,9,.500,23,12,.657,80.2,72.9,15.8,8.5,NCAA Tournament
8,Louisville,9,9,.500,22,14,.611,75.6,70.4,14.3,9.1,
10,Syracuse,8,10,.444,23,14,.622,66.6,63.8,12.9,10.0,NCAA Tournament
10,Notre Dame,8,10,.444,21,15,.583,74.9,68.6,13.7,7.9,
12,Boston College,7,11,.389,19,16,.543,76.4,74.6,9.0,7.2,
13,Georgia Tech,6,12,.333,13,19,.406,65.7,67.9,5.2,7.5,
14,Wake Forest,4,14,.222,11,20,.355,73.3,74.4,7.8,8.8,
15,Pittsburgh,0,18,.000,8,24,.250,62.0,72.4,-1.9,8.5,
