Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,North Carolina,14,4,.778,33,7,.825,84.4,70.6,24.8,11.8,NCAA Tournament; Reg. Season Champion; NCAA FF; NCAA Champion
2,Florida State,12,6,.667,26,9,.743,82.1,72.1,18.9,8.9,NCAA Tournament
2,Louisville,12,6,.667,25,9,.735,77.3,66.0,22.5,11.2,NCAA Tournament
2,Notre Dame,12,6,.667,26,10,.722,77.3,69.3,17.8,9.8,NCAA Tournament
5,Duke,11,7,.611,28,9,.757,80.8,70.2,21.6,10.9,NCAA Tournament; Conf. Tournament Champion
5,Virginia,11,7,.611,23,11,.676,66.1,56.4,20.6,10.9,NCAA Tournament
7,Virginia Tech,10,8,.556,22,11,.667,79.1,74.7,12.8,8.4,NCAA Tournament
7,Miami (FL),10,8,.556,21,12,.636,69.0,64.1,14.5,9.6,NCAA Tournament
7,Syracuse,10,8,.556,19,15,.559,76.3,71.1,13.7,8.5,
10,Wake Forest,9,9,.500,19,14,.576,82.8,78.4,14.2,9.8,NCAA Tournament
11,Georgia Tech,8,10,.444,21,16,.568,67.5,66.8,7.8,8.2,
12,Clemson,6,12,.333,17,16,.515,74.8,71.5,13.2,10.0,
13,Pittsburgh,4,14,.222,16,17,.485,72.8,74.7,9.2,11.1,
13,North Carolina State,4,14,.222,15,17,.469,77.6,79.6,6.1,8.1,
15,Boston College,2,16,.111,9,23,.281,72.5,78.4,2.2,8.1,
