Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Maryland,15,1,.938,32,4,.889,85.0,70.9,23.5,9.4,NCAA Tournament; Reg. Season Champion; NCAA FF; NCAA Champion
2,Duke,13,3,.813,31,4,.886,88.9,69.2,28.9,9.2,NCAA Tournament; Conf. Tournament Champion
3,Wake Forest,9,7,.563,21,13,.618,82.0,77.1,15.2,10.3,NCAA Tournament
4,North Carolina State,9,7,.563,23,11,.676,75.4,67.8,15.8,8.2,NCAA Tournament
5,Virginia,7,9,.438,17,12,.586,79.6,74.3,13.2,7.9,
6,Georgia Tech,7,9,.438,15,16,.484,76.5,76.6,8.5,8.7,
7,North Carolina,4,12,.250,8,20,.286,72.2,78.9,3.9,10.5,
8,Clemson,4,12,.250,13,17,.433,75.2,76.8,3.6,5.2,
9,Florida State,4,12,.250,12,17,.414,71.8,74.0,4.3,9.1,
