Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,North Carolina,14,2,.875,29,8,.784,77.5,68.8,18.9,10.1,NCAA Tournament; Reg. Season Champion
2,Duke,13,3,.813,32,5,.865,80.9,64.7,24.5,8.3,NCAA Tournament; Conf. Tournament Champion
3,Florida State,11,5,.688,23,11,.676,69.1,62.0,13.5,6.5,NCAA Tournament
4,Clemson,9,7,.563,22,12,.647,68.5,61.4,13.8,6.6,NCAA Tournament
4,Virginia Tech,9,7,.563,22,12,.647,70.3,62.7,13.8,6.3,
4,Boston College,9,7,.563,21,13,.618,71.8,69.3,9.8,7.3,
7,Maryland,7,9,.438,19,14,.576,76.8,67.6,15.0,5.8,
7,Virginia,7,9,.438,16,15,.516,61.9,62.4,6.0,6.6,
9,Miami (FL),6,10,.375,21,15,.583,71.6,67.6,10.5,6.4,
10,North Carolina State,5,11,.313,15,16,.484,70.7,70.5,7.0,6.8,
10,Georgia Tech,5,11,.313,13,18,.419,67.8,67.1,6.4,5.7,
12,Wake Forest,1,15,.063,8,24,.250,67.2,77.2,-4.4,5.5,
