Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kansas,14,4,.778,31,6,.838,75.2,61.9,20.8,7.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
1,Kansas State,14,4,.778,27,8,.771,69.0,60.4,13.5,6.5,NCAA Tournament; Reg. Season Champion
3,Oklahoma State,13,5,.722,24,9,.727,71.8,63.0,15.6,6.7,NCAA Tournament
4,Oklahoma,12,7,.632,20,12,.625,70.6,66.3,11.4,7.1,NCAA Tournament
5,Iowa State,11,7,.611,23,12,.657,79.4,71.0,14.5,6.1,NCAA Tournament
6,Baylor,9,9,.500,23,14,.622,76.0,66.4,15.1,7.1,
7,Texas,7,11,.389,16,18,.471,65.6,65.6,6.9,6.5,
8,West Virginia,6,13,.316,13,19,.406,66.1,68.1,4.6,6.5,
9,Texas Tech,3,15,.167,11,20,.355,65.4,72.8,-3.1,4.3,
10,Texas Christian,2,16,.111,11,21,.344,55.0,62.6,-4.3,4.4,
