Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Houston,19,1,.950,35,5,.875,73.7,58.7,28.4,13.4,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
2,Texas Tech,15,5,.750,28,9,.757,80.9,68.5,23.1,10.6,NCAA Tournament
3,Brigham Young,14,6,.700,26,10,.722,81.4,72.6,19.1,10.2,NCAA Tournament
3,Arizona,14,6,.700,24,13,.649,82.5,73.3,22.9,13.7,NCAA Tournament
5,Iowa State,13,7,.650,25,10,.714,80.3,68.3,22.3,10.3,NCAA Tournament
6,Kansas,11,9,.550,21,13,.618,76.1,69.6,20.1,13.6,NCAA Tournament
7,West Virginia,10,10,.500,19,13,.594,68.2,64.8,14.9,11.5,
7,Baylor,10,10,.500,20,15,.571,76.1,69.8,18.8,13.9,NCAA Tournament
9,TCU,9,11,.450,16,16,.500,67.6,68.7,10.5,11.6,
9,Kansas State,9,11,.450,16,17,.485,70.8,69.6,10.9,9.7,
11,Utah,8,12,.400,16,17,.485,75.5,72.6,11.4,8.5,
12,Cincinnati,7,13,.350,19,16,.543,71.2,66.2,14.2,9.3,
12,UCF,7,13,.350,20,17,.541,79.8,80.4,10.6,11.2,
12,Oklahoma State,7,13,.350,17,18,.486,73.0,76.3,6.9,10.2,
15,Arizona State,4,16,.200,13,20,.394,74.1,76.8,10.6,13.3,
16,Colorado,3,17,.150,14,21,.400,69.7,71.9,9.6,11.7,
