Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Baylor,13,1,.929,28,2,.933,82.9,65.5,24.8,7.4,NCAA Tournament; Reg. Season Champion; NCAA FF; NCAA Champion
2,Kansas,12,6,.667,21,9,.700,73.0,67.0,15.3,10.3,NCAA Tournament
3,Texas,11,6,.647,19,8,.704,74.4,68.2,15.5,9.4,NCAA Tournament; Conf. Tournament Champion
3,West Virginia,11,6,.647,19,10,.655,77.3,72.0,15.4,10.1,NCAA Tournament
5,Oklahoma State,11,7,.611,21,9,.700,76.6,72.7,13.6,9.8,NCAA Tournament
6,Texas Tech,9,8,.529,18,11,.621,72.5,63.2,16.6,7.3,NCAA Tournament
6,Oklahoma,9,8,.529,16,11,.593,74.5,69.9,13.5,8.9,NCAA Tournament
8,TCU,5,11,.313,12,14,.462,66.8,71.2,2.6,7.0,
9,Kansas State,4,14,.222,9,20,.310,61.8,70.2,0.8,9.0,
10,Iowa State,0,18,.000,2,22,.083,65.6,76.7,-0.7,10.4,
