Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kansas,13,5,.722,31,8,.795,81.4,71.9,21.4,11.9,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
2,Texas Tech,11,7,.611,27,10,.730,74.6,64.8,19.4,9.6,NCAA Tournament
2,West Virginia,11,7,.611,26,11,.703,80.1,69.6,19.9,9.4,NCAA Tournament
4,Kansas State,10,8,.556,25,12,.676,71.1,67.0,12.8,8.7,NCAA Tournament
5,Texas Christian,9,9,.500,21,12,.636,82.1,75.4,16.4,9.7,NCAA Tournament
6,Oklahoma State,8,10,.444,21,15,.583,76.6,73.3,12.4,9.1,
6,Oklahoma,8,10,.444,18,14,.563,84.9,81.7,13.8,10.6,NCAA Tournament
6,Baylor,8,10,.444,19,15,.559,75.6,69.7,14.6,9.2,
6,Texas,8,10,.444,19,15,.559,72.1,68.8,14.0,10.7,NCAA Tournament
10,Iowa State,4,14,.222,13,18,.419,72.8,75.5,6.9,9.5,
