Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,16,0,1.000,32,4,.889,77.3,64.1,22.5,9.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Florida,12,4,.750,25,8,.758,75.3,64.5,18.5,7.8,NCAA Tournament
3,Georgia,11,5,.688,19,8,.704,79.2,73.2,17.3,11.3,
4,Tennessee,9,7,.563,17,12,.586,68.3,66.3,9.9,7.9,
5,South Carolina,5,11,.313,12,16,.429,65.7,67.3,7.4,9.0,
6,Vanderbilt,3,13,.188,11,18,.379,68.9,72.1,6.2,9.4,
1,Mississippi State,9,7,.563,21,10,.677,69.4,59.7,17.7,8.0,NCAA Tournament; Reg. Season Champion
2,Auburn,8,8,.500,22,12,.647,70.8,65.7,12.7,8.3,NCAA Tournament
3,Louisiana State,8,8,.500,21,11,.656,72.7,63.4,16.1,6.8,NCAA Tournament
4,Alabama,7,9,.438,17,12,.586,69.0,65.1,13.4,9.4,NCAA Tournament
5,Mississippi,4,12,.250,14,15,.483,66.7,63.7,9.3,6.3,
6,Arkansas,4,12,.250,9,19,.321,61.6,66.5,4.7,9.6,
