Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Tennessee,12,4,.750,22,8,.733,80.4,73.5,14.7,7.8,NCAA Tournament; Reg. Season Champion
2,Florida,10,6,.625,33,6,.846,78.3,63.5,20.2,5.5,NCAA Tournament; Conf. Tournament Champion; NCAA FF; NCAA Champion
3,Kentucky,9,7,.563,22,13,.629,70.8,66.2,13.1,8.9,NCAA Tournament
4,Vanderbilt,7,9,.438,17,13,.567,70.1,67.0,10.6,7.5,
5,South Carolina,6,10,.375,23,15,.605,67.8,62.6,13.3,8.1,
6,Georgia,5,11,.313,15,15,.500,70.3,70.9,5.0,5.6,
1,Louisiana State,14,2,.875,27,9,.750,73.1,63.9,17.5,8.8,NCAA Tournament; Reg. Season Champion; NCAA FF
2,Alabama,10,6,.625,18,13,.581,70.3,67.5,10.8,8.1,NCAA Tournament
3,Arkansas,10,6,.625,22,10,.688,73.7,64.9,15.0,6.2,NCAA Tournament
4,Mississippi State,5,11,.313,15,15,.500,68.1,68.6,5.2,5.7,
5,Auburn,4,12,.250,12,16,.429,65.6,67.7,4.9,7.1,
6,Mississippi,4,12,.250,14,16,.467,65.0,67.7,1.7,4.3,
