Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Florida,13,3,.813,35,5,.875,79.8,62.6,23.8,7.3,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF; NCAA Champion
2,Vanderbilt,10,6,.625,22,12,.647,76.3,70.2,12.8,7.8,NCAA Tournament
3,Tennessee,10,6,.625,24,11,.686,80.9,75.1,15.0,9.1,NCAA Tournament
4,Kentucky,9,7,.563,22,12,.647,73.4,67.7,17.1,11.4,NCAA Tournament
5,Georgia,8,8,.500,19,14,.576,75.1,69.1,13.5,8.4,
6,South Carolina,4,12,.250,14,16,.467,64.7,68.8,3.8,7.9,
1,Mississippi State,8,8,.500,21,14,.600,76.9,68.5,15.3,6.9,Reg. Season Champion
2,Mississippi,8,8,.500,21,13,.618,73.1,69.3,9.9,6.4,
3,Arkansas,7,9,.438,21,14,.600,71.1,66.0,13.8,8.7,NCAA Tournament
4,Auburn,7,9,.438,17,15,.531,73.1,72.1,6.8,7.5,
5,Alabama,7,9,.438,20,12,.625,74.0,69.5,10.8,6.2,
6,Louisiana State,5,11,.313,17,15,.531,68.0,62.7,12.8,7.4,
