Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,14,2,.875,28,6,.824,73.6,62.6,19.2,8.1,NCAA Tournament; Reg. Season Champion
2,Florida,12,4,.750,24,8,.750,76.2,63.1,20.2,7.1,NCAA Tournament; Conf. Tournament Champion
3,Vanderbilt,8,8,.500,20,14,.588,71.2,64.9,13.5,7.3,
4,South Carolina,7,9,.438,20,13,.606,68.6,64.6,11.8,7.9,
5,Tennessee,6,10,.375,14,17,.452,69.0,68.9,8.5,8.4,
6,Georgia,2,14,.125,8,20,.286,60.1,67.8,-1.2,6.5,
1,Alabama,12,4,.750,24,8,.750,75.8,65.1,16.7,6.8,NCAA Tournament; Reg. Season Champion
2,Louisiana State,12,4,.750,20,10,.667,75.2,71.4,11.6,7.8,NCAA Tournament; Reg. Season Champion
3,Mississippi State,9,7,.563,23,11,.676,72.5,66.0,12.5,6.0,NCAA Tournament
4,Arkansas,6,10,.375,18,12,.600,71.6,62.8,12.3,3.6,
5,Mississippi,4,12,.250,14,17,.452,63.8,64.1,5.4,5.7,
6,Auburn,4,12,.250,14,17,.452,70.7,75.2,2.1,6.6,
