Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Tennessee,14,2,.875,31,5,.861,81.8,70.0,18.4,7.8,NCAA Tournament; Reg. Season Champion
2,Kentucky,12,4,.750,18,13,.581,68.5,65.6,9.2,7.1,NCAA Tournament
3,Vanderbilt,10,6,.625,26,8,.765,80.0,74.6,11.0,5.5,NCAA Tournament
4,Florida,8,8,.500,24,12,.667,77.5,67.6,12.3,5.0,
5,South Carolina,5,11,.313,14,18,.438,72.3,71.1,7.3,6.1,
6,Georgia,4,12,.250,17,17,.500,68.1,67.4,7.2,7.0,NCAA Tournament; Conf. Tournament Champion
1,Mississippi State,12,4,.750,23,11,.676,73.2,65.5,13.4,5.7,NCAA Tournament; Reg. Season Champion
2,Arkansas,9,7,.563,23,12,.657,74.1,68.3,12.5,6.7,NCAA Tournament
3,Mississippi,7,9,.438,24,11,.686,79.5,72.9,12.3,5.9,
4,Louisiana State,6,10,.375,13,18,.419,68.7,69.2,5.0,5.7,
5,Alabama,5,11,.313,17,16,.515,75.3,72.8,8.1,5.7,
6,Auburn,4,12,.250,14,16,.467,71.4,72.8,2.3,4.7,
