Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Georgia,10,6,.625,22,10,.688,76.4,71.0,14.7,9.2,NCAA Tournament; Reg. Season Champion; *Overall W-L adjusted to 21-9
2,Kentucky,10,6,.625,22,10,.688,76.9,68.2,19.1,12.0,NCAA Tournament; Reg. Season Champion
3,Florida,10,6,.625,22,9,.710,80.5,66.6,22.3,8.4,NCAA Tournament; Reg. Season Champion
4,Tennessee,7,9,.438,15,16,.484,71.7,70.8,11.2,10.9,
5,Vanderbilt,6,10,.375,17,15,.531,71.6,72.4,6.7,7.6,
6,South Carolina,6,10,.375,22,15,.595,68.3,61.6,16.3,9.8,
1,Alabama,12,4,.750,27,8,.771,75.9,66.7,16.9,7.7,NCAA Tournament; Reg. Season Champion
2,Mississippi State,10,6,.625,27,8,.771,73.8,66.7,14.4,7.3,NCAA Tournament; Conf. Tournament Champion
3,Mississippi,9,7,.563,20,11,.645,72.0,64.3,13.6,6.9,NCAA Tournament
4,Louisiana State,6,10,.375,19,15,.559,68.4,64.0,10.2,5.8,
5,Arkansas,6,10,.375,14,15,.483,74.9,72.7,12.3,10.1,
6,Auburn,4,12,.250,12,16,.429,65.5,66.6,6.9,8.0,
