Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Tennessee,12,4,.750,26,7,.788,79.7,67.8,18.9,8.1,NCAA Tournament; Reg. Season Champion
2,Kentucky,12,4,.750,23,10,.697,69.1,62.8,18.5,12.7,NCAA Tournament; Reg. Season Champion
3,Florida,12,4,.750,29,8,.784,83.8,68.9,23.5,8.5,NCAA Tournament; Reg. Season Champion; NCAA FF
4,Vanderbilt,8,8,.500,19,11,.633,74.8,69.7,12.6,7.5,
5,South Carolina,5,11,.313,15,17,.469,68.4,67.3,10.0,8.8,
6,Georgia,3,13,.188,10,20,.333,71.6,75.1,5.2,8.7,
1,Louisiana State,12,4,.750,28,6,.824,75.8,62.7,18.9,5.8,NCAA Tournament; Reg. Season Champion
2,Auburn,9,7,.563,24,10,.706,71.3,64.4,13.6,8.2,NCAA Tournament
3,Arkansas,7,9,.438,19,15,.559,74.4,69.8,12.4,7.8,NCAA Tournament; Conf. Tournament Champion
4,Alabama,6,10,.375,13,16,.448,72.2,72.4,7.4,7.6,
5,Mississippi State,5,11,.313,14,16,.467,72.3,70.4,7.1,5.3,
6,Mississippi,5,11,.313,19,14,.576,71.4,68.8,7.9,6.5,
