Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,18,0,1.000,38,1,.974,74.4,54.3,28.7,8.7,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion; NCAA FF
2,Arkansas,13,5,.722,27,9,.750,77.4,70.1,14.1,6.8,NCAA Tournament
3,Louisiana State,11,7,.611,22,11,.667,73.4,67.7,11.4,5.6,NCAA Tournament
3,Georgia,11,7,.611,21,12,.636,68.2,64.4,12.4,8.6,NCAA Tournament
3,Texas A&M,11,7,.611,21,12,.636,67.8,62.9,10.7,5.9,
3,Mississippi,11,7,.611,21,13,.618,72.8,68.4,11.4,7.0,NCAA Tournament
7,Vanderbilt,9,9,.500,21,14,.600,70.6,64.3,11.9,6.2,
8,Alabama,8,10,.444,19,15,.559,67.1,64.1,10.5,8.1,
8,Florida,8,10,.444,16,17,.485,63.7,60.1,13.3,9.7,
10,Tennessee,7,11,.389,16,16,.500,63.3,64.2,7.2,8.2,
11,South Carolina,6,12,.333,17,16,.515,65.0,62.0,10.5,8.2,
11,Mississippi State,6,12,.333,13,19,.406,61.8,63.5,2.5,4.7,
13,Auburn,4,14,.222,15,20,.429,67.9,72.1,3.3,8.2,
14,Missouri,3,15,.167,9,23,.281,60.5,67.9,1.1,9.3,
