1,Tennessee,10,6,.625,21,13,.618,78.4,72.5,13.6,7.7,NCAA Tournament; Reg. Season Champion
2,South Carolina,10,6,.625,21,10,.677,78.2,71.3,8.8,4.2,Reg. Season Champion
3,Florida,9,7,.563,25,11,.694,77.1,67.4,12.8,3.9,
4,Kentucky,8,8,.500,22,14,.611,74.1,66.3,12.7,4.8,
5,Vanderbilt,8,8,.500,19,12,.613,70.5,65.6,8.2,3.8,
6,Georgia,3,13,.188,12,20,.375,64.9,69.9,-1.8,5.5,
1,Louisiana State,13,3,.813,27,8,.771,74.8,66.2,11.9,3.3,NCAA Tournament; Reg. Season Champion
2,Auburn,10,6,.625,24,12,.667,72.8,65.4,9.9,3.6,
3,Mississippi State,9,7,.563,23,13,.639,74.4,68.9,9.1,4.6,NCAA Tournament; Conf. Tournament Champion
4,Alabama,7,9,.438,18,14,.563,73.4,70.4,5.5,4.0,
5,Mississippi,7,9,.438,16,15,.516,72.7,72.3,5.8,5.4,
6,Arkansas,2,14,.125,14,16,.467,74.6,73.8,3.8,3.9,
