Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,12,4,.750,24,10,.706,79.8,70.6,20.3,11.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Florida,12,4,.750,24,7,.774,80.9,67.1,21.3,7.5,NCAA Tournament; Reg. Season Champion
3,Georgia,9,7,.563,16,15,.516,72.8,72.8,12.7,12.7,NCAA Tournament
4,Tennessee,8,8,.500,22,11,.667,80.8,75.6,15.5,10.3,NCAA Tournament
5,South Carolina,6,10,.375,15,15,.500,68.1,67.1,10.0,9.0,
6,Vanderbilt,4,12,.250,15,15,.500,70.6,70.7,8.6,8.9,
1,Mississippi,11,5,.688,27,8,.771,71.3,64.6,15.1,9.2,NCAA Tournament; Reg. Season Champion
2,Arkansas,10,6,.625,20,11,.645,79.9,68.8,16.6,6.2,NCAA Tournament
3,Alabama,8,8,.500,25,11,.694,76.7,68.9,14.0,6.3,
4,Mississippi State,7,9,.438,18,13,.581,74.9,70.6,13.1,8.7,
5,Auburn,7,9,.438,18,14,.563,77.4,73.1,11.5,7.1,
6,Louisiana State,2,14,.125,13,16,.448,71.3,68.2,10.7,7.6,
