Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,13,3,.813,27,5,.844,73.9,63.6,18.8,8.5,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Florida,9,7,.563,20,11,.645,76.4,69.3,16.3,9.2,NCAA Tournament
3,South Carolina,8,8,.500,23,11,.676,70.1,62.6,12.8,5.3,NCAA Tournament
4,Vanderbilt,8,8,.500,23,10,.697,73.2,65.0,15.7,7.6,NCAA Tournament
5,Georgia,7,9,.438,16,14,.533,66.5,65.7,8.9,8.2,
6,Tennessee,7,9,.438,15,14,.517,71.1,70.9,7.4,7.2,
1,Mississippi State,14,2,.875,26,4,.867,77.3,66.6,16.8,6.1,NCAA Tournament; Reg. Season Champion
2,Louisiana State,8,8,.500,18,11,.621,66.3,63.8,9.1,6.6,
3,Alabama,8,8,.500,20,13,.606,72.1,68.0,14.3,10.2,NCAA Tournament
4,Auburn,5,11,.313,14,14,.500,70.0,65.6,10.3,5.9,
5,Mississippi,5,11,.313,13,15,.464,63.2,65.4,4.2,6.4,
6,Arkansas,4,12,.250,12,16,.429,68.9,68.6,6.5,6.3,
