Rk,East,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Kentucky,14,2,.875,35,3,.921,79.3,64.9,21.1,6.8,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Vanderbilt,12,4,.750,24,9,.727,76.9,68.9,15.2,7.9,NCAA Tournament
3,Tennessee,11,5,.688,28,9,.757,73.5,65.2,16.0,7.7,NCAA Tournament
4,Florida,9,7,.563,21,13,.618,72.2,66.4,11.9,7.2,NCAA Tournament
5,South Carolina,6,10,.375,15,16,.484,71.8,70.9,8.3,7.3,
6,Georgia,5,11,.313,14,17,.452,68.6,69.4,7.3,8.0,
1,Mississippi State,9,7,.563,24,12,.667,72.8,64.9,12.5,4.6,Reg. Season Champion
2,Mississippi,9,7,.563,24,11,.686,78.4,70.7,13.5,5.8,
3,Arkansas,7,9,.438,14,18,.438,74.7,73.9,5.9,5.1,
4,Alabama,6,10,.375,17,15,.531,68.5,64.8,10.3,6.6,
5,Auburn,6,10,.375,15,17,.469,75.7,74.2,5.5,4.7,
6,Louisiana State,2,14,.125,11,20,.355,61.5,66.4,1.0,5.9,
