Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Eastern Washington,16,2,.889,23,11,.676,76.7,71.4,1.5,-1.6,Reg. Season Champion
2,Montana State,15,3,.833,25,10,.714,73.9,66.9,2.2,-1.4,NCAA Tournament; Conf. Tournament Champion
3,Weber State,12,6,.667,18,15,.545,67.2,67.5,-2.9,-1.3,
4,Montana,10,7,.588,17,14,.548,69.3,68.2,-1.1,-1.8,
5,Idaho State,8,10,.444,11,21,.344,69.2,71.0,-6.6,-3.0,
6,Sacramento State,7,11,.389,14,18,.438,66.1,67.8,-4.6,-1.6,
7,Portland State,6,11,.353,12,19,.387,76.2,75.5,-5.2,-0.6,
8,Northern Colorado,6,12,.333,12,20,.375,73.6,77.5,-4.7,-0.7,
9,Northern Arizona,5,13,.278,12,23,.343,73.7,74.7,-3.9,-0.2,
10,Idaho,4,14,.222,10,22,.313,73.0,72.9,-8.7,-3.9,
