Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Weber State,15,3,.833,26,9,.743,76.1,67.0,0.2,-5.1,NCAA Tournament; Reg. Season Champion; Conf. Tournament Champion
2,Montana,14,4,.778,21,12,.636,72.5,67.4,-0.7,-4.3,
3,Idaho,12,6,.667,21,13,.618,69.8,66.2,-5.2,-5.9,
4,Idaho State,11,7,.611,16,15,.516,74.1,76.0,-9.8,-6.7,
5,Eastern Washington,10,8,.556,18,16,.529,81.4,77.0,-4.5,-6.0,
5,North Dakota,10,8,.556,17,16,.515,75.0,71.7,-3.7,-4.9,
7,Montana State,9,9,.500,14,17,.452,76.4,77.8,-6.9,-5.3,
8,Portland State,8,10,.444,13,18,.419,77.7,77.7,-8.1,-5.9,
9,Northern Colorado,7,11,.389,10,21,.323,73.9,80.1,-12.2,-4.0,
10,Sacramento State,6,12,.333,14,17,.452,71.3,72.2,-8.6,-5.3,
11,Southern Utah,3,15,.167,6,24,.200,68.0,81.0,-17.4,-4.2,
11,Northern Arizona,3,15,.167,5,25,.167,68.5,81.3,-18.3,-2.8,
