Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Southern Utah,12,2,.857,19,3,.864,84.2,68.5,0.2,-6.5,
2,Weber State,12,3,.800,17,5,.773,82.1,68.8,2.9,-6.2,
2,Eastern Washington,12,3,.800,13,7,.650,79.3,71.6,2.2,-4.6,
4,Idaho State,8,6,.571,13,10,.565,68.4,61.3,-9.2,-6.8,
4,Montana State,8,6,.571,11,9,.550,74.9,72.5,-7.5,-6.3,
6,Montana,7,9,.438,13,12,.520,71.3,66.4,-3.8,-2.3,
7,Northern Colorado,6,8,.429,10,10,.500,68.9,67.3,-8.0,-5.3,
7,Portland State,6,8,.429,9,12,.429,68.9,66.0,-6.6,-5.4,
9,Sacramento State,5,9,.357,8,11,.421,71.6,71.2,-8.3,-4.3,
10,Northern Arizona,4,10,.286,5,15,.250,62.7,75.4,-15.2,-2.5,
11,Idaho,1,17,.056,1,20,.048,60.9,76.8,-19.9,-4.0,
