Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Eastern Washington,16,4,.800,23,8,.742,80.9,72.9,2.0,-1.8,Reg. Season Champion
2,Northern Colorado,15,5,.750,22,9,.710,74.3,62.7,5.7,-2.8,
3,Montana,14,6,.700,18,13,.581,70.8,68.5,0.6,-1.5,
4,Portland State,12,8,.600,18,14,.563,78.7,75.4,-1.5,-2.4,
5,Northern Arizona,10,10,.500,16,14,.533,70.9,69.4,-4.7,-2.4,
5,Montana State,10,10,.500,16,15,.516,66.6,67.0,-5.0,-2.3,
7,Southern Utah,9,11,.450,17,15,.531,72.8,66.3,0.1,-2.5,
8,Sacramento State,8,12,.400,16,14,.533,63.2,59.7,-2.1,-2.8,
8,Weber State,8,12,.400,12,20,.375,69.5,71.3,-8.3,-0.7,
10,Idaho State,4,16,.200,8,22,.267,69.8,73.3,-8.6,-1.6,
10,Idaho,4,16,.200,8,24,.250,65.2,72.8,-12.1,-2.1,
