Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Gonzaga,13,1,.929,25,8,.758,76.5,63.8,14.8,2.1,NCAA Tournament; Reg. Season Champion
2,Saint Mary's (CA),12,2,.857,25,7,.781,75.7,63.7,11.4,0.4,NCAA Tournament
3,San Diego,11,3,.786,22,14,.611,65.7,63.8,3.4,1.4,NCAA Tournament; Conf. Tournament Champion
4,Santa Clara,6,8,.429,15,16,.484,63.0,61.4,-0.8,-1.0,
5,San Francisco,5,9,.357,10,21,.323,66.7,71.9,-7.0,-1.0,
6,Pepperdine,4,10,.286,11,21,.344,73.9,79.7,-8.0,-0.1,
7,Portland,3,11,.214,9,22,.290,63.1,68.9,-8.6,-1.2,
8,Loyola Marymount,2,12,.143,5,26,.161,61.9,78.5,-16.9,0.0,
